Date,JPM,BAC
2021-06-02,146.3491668701172,38.02898406982422
2021-06-03,146.44613647460938,38.464759826660156
2021-06-04,146.68405151367188,38.48255920410156
2021-06-07,145.9966583251953,38.349159240722656
2021-06-08,145.41500854492188,38.135704040527344
2021-06-09,143.59951782226562,37.63766860961914
2021-06-10,141.3610076904297,37.07736587524414
2021-06-11,141.2640380859375,37.22854995727539
2021-06-14,138.86692810058594,36.78388214111328
2021-06-15,136.76055908203125,36.81056594848633
2021-06-16,137.72122192382812,37.01512145996094
2021-06-17,133.74652099609375,35.39647674560547
2021-06-18,130.3623504638672,34.48932647705078
2021-06-21,132.57440185546875,35.352012634277344
2021-06-22,132.3805389404297,35.54766845703125
2021-06-23,133.18252563476562,35.752220153808594
2021-06-24,134.40753173828125,36.31251907348633
2021-06-25,135.76473999023438,37.01512145996094
2021-06-28,136.01150512695312,36.96174621582031
2021-06-29,135.8440399169922,36.36588668823242
2021-06-30,137.07781982421875,36.66826248168945
2021-07-01,138.43504333496094,36.943965911865234
2021-07-02,138.30209350585938,36.597103118896484
2021-07-06,135.9797821044922,35.6366081237793
2021-07-07,136.1393280029297,35.352012634277344
2021-07-08,133.79043579101562,34.48932647705078
2021-07-09,138.0717010498047,35.60993194580078
2021-07-12,140.04827880859375,36.13465118408203
2021-07-13,137.96527099609375,35.4498405456543
2021-07-14,137.4954833984375,34.560482025146484
2021-07-15,137.79690551757812,34.53379821777344
2021-07-16,134.65023803710938,33.724483489990234
2021-07-19,130.27149963378906,32.84401321411133
2021-07-20,132.70016479492188,33.51993179321289
2021-07-21,135.49229431152344,34.204742431640625
2021-07-22,133.78155517578125,33.76005554199219
